51,FTE_ASCOACH_WOMEN,Num,8,,,# FTEs Assist. Coach/Women's,,StaffAndSalaries,,,women,,,,assistant,FullTime,
52,FTE_ASCOACH_COED,Num,8,,,# FTEs Assist. Coach/Coed,,StaffAndSalaries,,,,coed,,,assistant,FullTime,
53,IL_PARTIC_MEN,Num,8,,,Total # Participants Men,participant,,,men,,,,,,,
54,IL_PARTIC_WOMEN,Num,8,,,Total # Participants Women,participant,,,,women,,,,,,
55,IL_PARTIC_COED_MEN,Num,8,,,Total # Participants Men Coed,participant,,,,,coed,,,,,
56,IL_PARTIC_COED_WOMEN,Num,8,,,Total # Participants Women Coed,participant,,,,,coed,,,,,
57,IL_SUM_PARTIC_MEN,Num,8,,,Total # Participants Men/Men Coed,participant,,,,,coed,,,,,
58,IL_SUM_PARTIC_WOMEN,Num,8,,,Total # Participants Women/Women Coed,participant,,,,,coed,,,,,
59,IL_OPEXPPERPART_MEN,Num,8,,,Total Exp. Per Participant/Men,,,RevenuesAndExpenses,men,,,,,,,
60,IL_OPEXPPERTEAM_MEN,Num,8,,,Total Exp. Per Team/Men,,,RevenuesAndExpenses,men,,,,,,,
61,IL_OPEXPPERPART_WOMEN,Num,8,,,Total Exp. Per Participant/Women,,,RevenuesAndExpenses,,women,,,,,,
62,IL_OPEXPPERTEAM_WOMEN,Num,8,,,Total Exp. Per Team/Women,,,RevenuesAndExpenses,,women,,,,,,
63,IL_TOTAL_OPEXP_MENWOMEN,Num,8,,,Total Exp. Men and Women,,,RevenuesAndExpenses,,,,total,,,,
64,IL_OPEXPPERPART_COED_MEN,Num,8,,,Total Exp. Per Participant/Coed Men,,,RevenuesAndExpenses,,,coed,,,,,
65,IL_OPEXPPERTEAM_COED_MEN,Num,8,,,Total Exp. Per Team/Coed Men,,,RevenuesAndExpenses,,,coed,,,,,
66,IL_OPEXP_PART_COED_WOMEN,Num,8,,,Total Exp. Per Participant Women/Coed,,,RevenuesAndExpenses,,,coed,,,,,
67,IL_OPEXP_TEAM_COED_WOMEN,Num,8,,,Total Exp. Per Team Women/Coed,,,RevenuesAndExpenses,,,coed,,,,,
68,IL_TOTAL_OPEXP_COEDTEAM,Num,8,,,Total Exp. Coed Men/Coed Women,,,RevenuesAndExpenses,,,coed,,,,,
69,IL_SUM_OPEXPPERPART_MEN,Num,8,,,Total Exp. Per Participant/Men/Coed Men,,,RevenuesAndExpenses,,,coed,,,,,
70,IL_SUM_OPEXPPERTEAM_MEN,Num,8,,,Total Exp. Per Team/Men/Coed Men,,,RevenuesAndExpenses,,,coed,,,,,
71,IL_SUM_OPEXPPERPART_WOMEN,Num,8,,,Total Exp. Per Participant/Women/Coed Women,,,RevenuesAndExpenses,,,coed,,,,,
72,IL_SUM_OPEXPPERTEAM_WOMEN,Num,8,,,Total Exp. Per Team/Women/Coed Women,,,RevenuesAndExpenses,,,coed,,,,,
73,IL_TOTAL_OPEXP_INCLCOED,Num,8,,,Total Exp. Men/Women/Coed Men/Women,,,RevenuesAndExpenses,,,,total,,,,
